name,pos,market_value
Travis Etienne Jr.,RB,65.0
Mark Andrews,TE,64.9
Kyler Murray,QB,64.7
Ricky Pearsall,WR,64.6
Josh Downs,WR,64.5
Alvin Kamara,RB,64.5
Joe Mixon,RB,64.5
Kyle Pitts Sr.,TE,64.5
Jayden Higgins,WR,64.3
Brock Purdy,QB,64.3
Khalil Shakir,WR,64.2
Chris Godwin,WR,64.1
Baker Mayfield,QB,64.1
Courtland Sutton,WR,64.0
Tre' Harris,WR,63.9
Jayden Reed,WR,63.8
Tony Pollard,RB,63.6
Trevor Lawrence,QB,63.4
D'Andre Swift,RB,63.2
Brian Robinson Jr.,RB,63.2
Isiah Pacheco,RB,63.1
Evan Engram,TE,63.1
J.J. McCarthy,QB,63.0
James Conner,RB,62.8
Tyrone Tracy Jr.,RB,62.8
Calvin Ridley,WR,62.8
Jakobi Meyers,WR,62.4
Jauan Jennings,WR,62.4
Cam Skattebo,RB,62.3
Deebo Samuel Sr.,WR,62.3
Anthony Richardson Sr.,QB,62.2
Keon Coleman,WR,62.2
Jared Goff,QB,62.1
Dak Prescott,QB,62.0
Tank Dell,WR,61.9
Travis Kelce,TE,61.9
Aaron Jones Sr.,RB,61.8
Jack Bech,WR,61.7
Stefon Diggs,WR,61.6
Darnell Mooney,WR,61.6
Bhayshul Tuten,RB,61.6
Jalen McMillan,WR,61.6
Michael Penix Jr.,QB,61.6
Cameron Ward,QB,61.6
Zach Charbonnet,RB,61.4
Najee Harris,RB,61.4
Isaiah Likely,TE,61.4
Rashid Shaheed,WR,61.3
Kyle Williams,WR,61.3
Cooper Kupp,WR,61.2
Trey Benson,RB,61.2
Dallas Goedert,TE,61.2
Jake Ferguson,TE,61.1
Mason Taylor,TE,61.1
Jaylen Warren,RB,61.0
Jaylin Noel,WR,61.0
Bryce Young,QB,61.0
Justin Fields,QB,60.9
Cedric Tillman,WR,60.9
Jonnu Smith,TE,60.9
Rhamondre Stevenson,RB,60.9
Christian Kirk,WR,60.8
Tyjae Spears,RB,60.8
Jonathon Brooks,RB,60.8
Marvin Mims Jr.,WR,60.8
Rashod Bateman,WR,60.8
Tua Tagovailoa,QB,60.8
Rachaad White,RB,60.7
Pat Freiermuth,TE,60.7
Elijah Arroyo,TE,60.7
Javonte Williams,RB,60.6
Jordan Mason,RB,60.6
Romeo Doubs,WR,60.6
Tank Bigsby,RB,60.6
Sam Darnold,QB,60.6
Marquise Brown,WR,60.5
Xavier Legette,WR,60.5
Terrance Ferguson,TE,60.4
Jaxson Dart,QB,60.4
Braelon Allen,RB,60.4
Isaac Guerendo,RB,60.4
Cade Otton,TE,60.3
Ray Davis,RB,60.3
Dylan Sampson,RB,60.3
Wan'Dale Robinson,WR,60.3
Jaylen Wright,RB,60.3
Jaydon Blue,RB,60.3
Joshua Palmer,WR,60.3
Quentin Johnston,WR,60.3
Brenton Strange,TE,60.3
Jalen Royals,WR,60.3
Harold Fannin Jr.,TE,60.3
Hunter Henry,TE,60.2
Adonai Mitchell,WR,60.2
Geno Smith,QB,60.2
J.K. Dobbins,RB,60.2
Elic Ayomanor,WR,60.2
Matthew Stafford,QB,60.2
Jalen Coker,WR,60.2
Dontayvion Wicks,WR,60.1
Rico Dowdle,RB,60.1
Jarquez Hunter,RB,60.1
Tyler Allgeier,RB,60.1
Blake Corum,RB,60.1
